Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
47.3119999999,5914,1.3804269092,-1.0415465762,1.3167743699,,,
47.3159999999,5914,2.4675597988,-0.3850138134,1.8025117628,,,
47.3199999998,5915,2.6676090279,0.0025992678,1.7841351008,,,
47.3239999998,5915,2.6590731138,0.7525942979,1.8076959012,,,
47.3280000000,5916,2.8324678964,2.0419090745,2.1728988659,,,
47.3319999999,5916,2.4895729702,2.8615240062,2.1411583412,,,
47.3359999999,5917,1.2524426772,2.4957517729,1.1374526294,,,
47.3399999999,5917,0.1347028303,1.7149536786,-0.0578560610,,,
47.3439999998,5918,0.1920965297,1.5620283255,-0.3028365204,,,
47.3479999998,5918,1.0573823392,1.8866460071,0.3926185205,,,
47.3520000000,5919,1.8269603832,2.0566233279,1.2973294859,,,
47.3559999999,5919,2.4597091099,2.2026258917,2.2012014453,,,
47.3599999999,5920,3.1409902671,2.5816203779,3.1132075828,,,
47.3639999998,5920,3.1040743105,2.4302254121,3.2780130506,,,
47.3679999998,5921,1.4857048116,0.8042487812,1.8128927122,,,
47.3719999997,5921,-1.0912360518,-1.7909212810,-0.8032575741,,,
47.3759999999,5922,-3.0859772300,-3.8391880597,-3.0144948389,,,
47.3799999999,5922,-3.9136479167,-4.6470137415,-3.9561840469,,,
47.3839999998,5923,-4.0664589078,-4.5850710599,-3.9433170628,,,
47.3879999998,5923,-3.7178598449,-3.8165610097,-3.3331322105,,,
47.3920000000,5924,-2.6072679268,-2.1713069659,-2.1340554086,,,
47.3959999999,5924,-1.1839685136,-0.2200372534,-0.8399361978,,,
47.3999999999,5925,-0.4385160783,0.9206915413,-0.4099131111,,,
47.4039999999,5925,-0.4391110096,1.0903077045,-1.0013516870,,,
47.4079999998,5926,-0.2489939221,1.2496617586,-1.6468091362,,,
47.4119999998,5926,0.4940923266,1.9019352268,-1.5809125888,,,
47.4160000000,5927,1.1160431632,2.4820845551,-1.0258224299,,,
47.4199999999,5927,1.3301135896,2.6454030913,-0.2715077791,,,
47.4239999999,5928,1.8075507813,2.8957410600,0.9874561097,,,
47.4279999998,5928,2.7210529642,3.3088201634,2.6986298226,,,
47.4319999998,5929,2.9920887373,2.8608986846,3.7988924499,,,
47.4359999998,5929,1.8848552952,0.9531715326,3.4736664933,,,
47.4399999999,5930,0.2896962275,-1.3797390290,2.3700533654,,,
47.4439999999,5930,-0.5679615613,-2.7759901636,1.6101474200,,,
47.4479999999,5931,-0.7755780555,-3.2287697992,1.2259891860,,,
47.4519999998,5931,-1.0543366681,-3.4683173335,0.5798106259,,,
