Time:250Hz,Epoch,10,14,15,Event Id,Event Date,Event Duration
13.5559999999,1694,2.3515394064,3.1853590603,2.4123697847,,,
13.5599999998,1695,0.9735130149,0.2641702834,0.8595778985,,,
13.5639999998,1695,-0.7162953616,-2.8840096173,-1.1323256964,,,
13.5680000000,1696,-2.6038416345,-5.6130938888,-3.2607799025,,,
13.5719999999,1696,-4.6660176898,-7.6142157022,-5.4071562697,,,
13.5759999999,1697,-5.7442582960,-7.8330297267,-6.5664354011,,,
13.5799999998,1697,-4.5203806241,-5.3579529428,-5.5008027707,,,
13.5839999998,1698,-1.4161971402,-1.0944802898,-2.4545879993,,,
13.5879999998,1698,1.7982065639,2.8216902942,0.9142387916,,,
13.5919999999,1699,4.0687138079,5.1979568165,3.3557680170,,,
13.5959999999,1699,5.4713099332,6.2198447328,4.7454497307,,,
13.5999999999,1700,5.8717100625,6.0272228165,5.0673298552,,,
13.6039999998,1700,4.8129588194,4.4425545567,4.0956967593,,,
13.6079999998,1701,2.8969487993,2.2253306889,2.4397604312,,,
13.6119999997,1701,1.6842338857,0.9741747682,1.5356689420,,,
13.6159999999,1702,1.7211267515,1.2184609393,1.9074171477,,,
13.6199999999,1702,1.9634839432,1.8335677026,2.4698009394,,,
13.6239999998,1703,1.5814414193,1.8245594332,2.1579376370,,,
13.6279999998,1703,0.9942665165,1.4628833333,1.2349886209,,,
13.6320000000,1704,0.5859618005,1.1239233814,0.3690483851,,,
13.6359999999,1704,-0.1908151752,0.3454229089,-0.4870922678,,,
13.6399999999,1705,-1.5715494066,-1.0671626305,-1.4230504419,,,
13.6439999999,1705,-2.5677343715,-2.1417073171,-1.7555570964,,,
13.6479999998,1706,-2.3340187158,-2.0128553789,-0.9707084112,,,
13.6519999998,1706,-1.4366796746,-1.1946315122,0.2306692199,,,
13.6560000000,1707,-0.7297641355,-0.5572136122,0.8791498151,,,
13.6599999999,1707,0.0292070922,0.0668106358,1.0975612854,,,
13.6639999999,1708,1.2580432076,1.0978343075,1.4552600786,,,
13.6679999998,1708,2.1329515429,1.8383357746,1.5556724453,,,
13.6719999998,1709,1.4946275897,1.2539311963,0.5205493854,,,
13.6759999997,1709,-0.3619024078,-0.3480894679,-1.4284017241,,,
13.6799999999,1710,-2.1347257503,-1.7369262286,-3.1181777107,,,
13.6839999999,1710,-3.3308399839,-2.5195948265,-4.0192730313,,,
13.6879999998,1711,-4.2841745878,-3.1682427308,-4.5012484939,,,
13.6919999998,1711,-4.7282154005,-3.5746318658,-4.5807430563,,,
13.6960000000,1712,-3.9235328795,-3.0787716666,-3.7244334210,,,
13.7000000000,1712,-2.2198545085,-1.9523145329,-2.0988310894,,,
13.7039999999,1713,-1.0051527022,-1.3926213823,-0.7876340655,,,
13.7079999999,1713,-0.8438519992,-1.7849713709,-0.3548743341,,,
13.7119999998,1714,-0.9470658910,-2.2448431252,-0.2274554365,,,
13.7159999998,1714,-0.7033700962,-2.1412363312,0.1202452303,,,
13.7200000000,1715,-0.3832723187,-1.7800473952,0.4430506807,,,
13.7239999999,1715,-0.0009449739,-1.2247525191,0.6496454848,,,
13.7279999999,1716,1.0874016250,0.1738630496,1.3169184801,,,
13.7319999998,1716,2.7955220694,2.3752701150,2.5349774238,,,
13.7359999998,1717,3.7688482640,3.9793630658,3.2019462962,,,
13.7399999998,1717,3.1022546637,3.8779538783,2.3921337541,,,
13.7439999999,1718,1.6169689371,2.6789202980,0.7177003619,,,
13.7479999999,1718,0.5761033725,1.6298226080,-0.5581890300,,,
13.7519999999,1719,0.0806428640,1.0065546508,-1.0998353078,,,
13.7559999998,1719,-0.2807284568,0.5529130929,-1.2241929225,,,
13.7599999998,1720,-0.1386677257,0.6361956385,-0.7198497900,,,
13.7639999997,1720,0.9898605878,1.6309960015,0.7852500993,,,
13.7679999999,1721,2.4333956308,2.7550356128,2.6592094533,,,
13.7719999999,1721,3.1787173602,2.9462739320,3.8002951083,,,
13.7759999998,1722,3.4476043163,2.4935097784,4.1602270529,,,
13.7799999998,1722,4.0685751813,2.4268317609,4.4950805994,,,
13.7840000000,1723,4.7190254675,2.6602426203,4.7655792203,,,
13.7879999999,1723,4.2541644283,2.1498762614,4.0931241056,,,
13.7919999999,1724,2.5427388641,0.6804437896,2.3106384272,,,
13.7959999999,1724,0.5815346346,-0.8783155417,0.3071733769,,,
13.7999999998,1725,-1.0718881381,-2.0055303004,-1.2914244141,,,
13.8039999998,1725,-2.5972913440,-2.8711148354,-2.6129466262,,,
13.8080000000,1726,-3.7292819801,-3.2523600731,-3.5788115757,,,
13.8119999999,1726,-3.7790206768,-2.5553225869,-3.7050457150,,,
13.8159999999,1727,-3.0499918452,-1.1800136285,-3.2052700050,,,
13.8199999998,1727,-2.8519273850,-0.5149244333,-3.1321108366,,,
13.8239999998,1728,-3.6801163520,-1.1151418244,-3.8940424966,,,
13.8279999997,1728,-4.5585499294,-2.0303515432,-4.5940670090,,,
13.8319999999,1729,-4.6442477193,-2.3923032005,-4.3941269334,,,
13.8359999999,1729,-4.2819926687,-2.5030753633,-3.6116419745,,,
13.8399999999,1730,-3.8573816196,-2.7391783538,-2.8097897080,,,
13.8439999998,1730,-2.8906921721,-2.5939802595,-1.7700678532,,,
13.8480000000,1731,-1.2097602180,-1.7541460273,-0.2785528257,,,
13.8520000000,1731,0.1351020145,-1.0660704817,0.9321891714,,,
13.8559999999,1732,0.2841455946,-1.2845882285,1.1524451900,,,
13.8599999999,1732,-0.0086408490,-1.7004479598,0.9900246137,,,
13.8639999998,1733,0.4717131669,-1.1887788960,1.5435444644,,,
13.8679999998,1733,1.6143919611,0.0987899541,2.7320025522,,,
13.8720000000,1734,2.5486866284,1.2859087182,3.5781610066,,,
13.8759999999,1734,3.2398984644,2.3245085856,3.7547044200,,,
13.8799999999,1735,4.1198987600,3.6334707143,3.6316823423,,,
13.8839999998,1735,4.6706304695,4.6906315649,3.0763124942,,,
13.8879999998,1736,3.9173320980,4.4819230789,1.5689090870,,,
